Dispositivo;Grupo de dispositivo;Data de início;Duração da condução;Data de parada;Duração da parada;Origem;Destino;Tempo parado com motor ligado;Velocidade máxima;Horas do motor no início da viagem;Horas do motor no final da viagem
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:04:33;16/02/2026;0,004346377;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:42;8;03:18:00;03:24:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:02:59;16/02/2026;0,005729167;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:08:15;11;03:24:00;03:35:14
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:04:46;16/02/2026;0,014330729;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:01:36;26;03:35:14;03:42:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:10:09;16/02/2026;0,00950169;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:10;18;03:42:00;03:54:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:01:25;16/02/2026;0,0056236;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:02:35;0;03:54:00;03:54:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:03:43;16/02/2026;0,004567037;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:03:09;9;03:54:00;04:06:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:04:41;16/02/2026;0,000590035;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:37;7;04:06:00;04:06:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:05:29;16/02/2026;0,006608796;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:03:06;8;04:06:00;04:14:38
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:04:51;16/02/2026;0,004409722;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:06:21;9;04:14:38;04:25:50
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:03:42;16/02/2026;0,003032407;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:04:22;20;04:25:50;04:33:54
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:01:36;16/02/2026;0,033822303;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:28;7;04:33:54;04:36:00
