Dispositivo;Grupo de dispositivo;Data;Data de extinção do defeito;Usuário que extinguiu o defeito;Descrição;Modo de falha;Fonte;Controlador;Código
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,54641;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,29487;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,302;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,31246;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,32266;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,33256;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,34278;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,35985;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,37534;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,37887;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,39159;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,40313;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,41588;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,44393;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,4515;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,46201;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,4707;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,48356;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,50323;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,52304;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,53906;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,54854;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,55455;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
